,umap_1,umap_2,paul15_clusters,state
W31479,5.1180744,6.0614724,5Ery,
W31480,0.2135026,4.0582557,7MEP,
W31481,7.4054694,7.263427,2Ery,
W31483,-4.4583616,9.619621,14Mo,
W31484,-6.3163657,7.371815,13Baso,
W31485,5.7259927,5.404242,2Ery,
W31486,5.2325683,5.389278,5Ery,
W31487,-5.1300726,8.29045,14Mo,
W31489,-7.9130635,7.4637856,14Mo,
W31491,-4.310503,6.48701,9GMP,
W31492,7.5589604,4.2455683,4Ery,
W31493,-1.9921159,5.267385,10GMP,
W31494,-7.066772,8.518725,13Baso,
W31495,-3.8035471,6.344913,10GMP,
W31497,0.22366296,4.876212,7MEP,
W31498,-4.1038556,6.7536864,10GMP,
W31499,5.3206644,3.5682127,3Ery,
W31500,8.183383,5.7823577,2Ery,
W31501,-7.6123385,7.380409,14Mo,
W31502,-2.02977,5.443314,10GMP,
W31503,-6.0000076,10.009545,15Mo,
W31504,-8.773387,8.861551,13Baso,
W31505,-0.4307863,5.0218015,7MEP,
W31506,1.0733453,4.5451026,6Ery,
W31507,2.1008947,5.723624,7MEP,
W31508,5.00414,4.8817754,5Ery,
W31509,-5.604191,8.22682,14Mo,
W31510,-7.0794573,7.1036663,13Baso,
W31511,-4.5090694,6.2603106,10GMP,
W31512,3.0437624,4.764085,7MEP,
W31513,8.032711,2.89187,3Ery,3Ery
W31514,0.027878728,5.168976,7MEP,7MEP
W31515,-5.474255,6.82358,13Baso,
W31516,8.171197,7.233042,1Ery,
W31517,-3.9765813,7.9048553,14Mo,
W31518,-5.731432,7.485481,13Baso,
W31519,-2.1760488,6.07918,10GMP,
W31520,-5.0370526,6.107799,9GMP,
W31521,6.8205633,3.019844,3Ery,
W31522,-7.0153155,6.391736,13Baso,
W31523,7.669446,6.9113197,2Ery,
W31524,-4.207211,7.37562,13Baso,
W31525,7.962481,6.2279053,2Ery,
W31526,-0.110207476,4.335728,6Ery,
W31527,2.0013182,5.1462483,6Ery,
W31528,-4.8705597,7.6006722,13Baso,
W31529,6.266911,3.1691914,3Ery,
W31530,-4.8058653,8.364532,13Baso,
W31531,-4.420668,2.591462,11DC,11DC
W31532,-6.0890408,10.138378,14Mo,
W31533,-2.278245,5.731822,10GMP,
W31534,-0.76244164,6.832388,8Mk,
W31535,-2.7098572,6.3596826,9GMP,
W31536,6.828476,5.662307,2Ery,
W31537,-3.5493007,7.589979,13Baso,
W31538,-5.7496157,7.599089,14Mo,
W31539,-2.836953,6.645484,13Baso,
W31540,-5.237881,8.528769,14Mo,
W31541,5.8090634,6.11023,5Ery,
W31542,-4.872874,7.735725,14Mo,
W31543,4.1565814,5.7715607,5Ery,
W31544,-6.354317,7.4178677,13Baso,
W31545,-2.497124,7.3997607,12Baso,
W31546,-5.871572,10.863985,16Neu,
W31547,-2.0313432,4.8528113,11DC,11DC
W31548,-3.0954647,6.984994,13Baso,
W31549,-5.858094,7.624063,13Baso,
W31550,7.2828546,6.7081904,2Ery,
W31551,6.222214,6.116078,2Ery,
W31552,-5.045147,7.8801513,14Mo,
W31553,-0.47799045,4.3771305,7MEP,7MEP
W31554,6.2524843,5.6601467,4Ery,
W31555,2.4904454,5.1786323,6Ery,
W31556,-4.7610703,7.457248,13Baso,
W31558,-4.575172,8.281192,14Mo,
W31559,-6.016952,7.5207667,14Mo,
W31560,-0.021945689,4.858086,6Ery,
W31562,-1.8009598,6.0724363,12Baso,
W31563,5.4975524,4.188285,6Ery,
W31564,-3.7606447,8.001924,14Mo,
W31565,6.7236533,5.4436502,2Ery,
W31566,-5.3313904,9.346571,13Baso,
W31567,-5.434622,7.7287846,13Baso,
W31568,-5.48702,8.594429,14Mo,
W31569,0.11208733,4.3361025,7MEP,
W31570,-0.35714623,4.9803634,7MEP,7MEP
W31571,-6.053581,10.364436,15Mo,
W31572,3.8075042,5.561493,5Ery,
W31573,3.2636156,5.2720504,5Ery,
W31575,2.6900773,5.0638456,5Ery,
W31576,4.89974,5.5042763,5Ery,
W31577,-7.403586,10.556179,15Mo,
W31578,8.187921,6.8706675,1Ery,
W31580,-4.8055277,7.187372,13Baso,
W31581,-5.050185,6.1764174,10GMP,
W31583,-1.3203542,7.13976,12Baso,
W31586,7.9833117,4.4556274,4Ery,
W31587,-0.561962,4.532533,7MEP,
W31588,-7.7992315,11.06002,15Mo,
W31589,-2.6332886,3.9561276,19Lymph,19Lymph
W31590,-7.9769855,7.1444573,13Baso,
W31591,-7.6036777,7.563788,13Baso,
W31593,8.165981,2.9717185,3Ery,
W31594,6.508781,5.445412,3Ery,
W31595,-6.1638117,10.515844,15Mo,
W31596,-5.9328628,11.214544,16Neu,
W31597,-6.7857256,7.2397017,13Baso,
W31598,8.164842,5.827756,2Ery,
W31599,-6.9364576,10.554101,15Mo,
W31600,-1.5295837,5.962796,17Neu,
W31601,-6.4056497,9.908239,15Mo,
W31602,-4.925856,6.5746613,13Baso,
W31603,-5.852114,10.299813,16Neu,
W31604,0.97442895,4.364757,6Ery,
W31605,5.180549,4.3530216,5Ery,
W31606,-7.6233096,9.198797,15Mo,
W31607,-1.9791483,6.982298,9GMP,
W31608,-7.2618904,7.524118,13Baso,
W31609,-8.629533,10.023303,15Mo,15Mo
W31611,-5.2500753,7.4970527,13Baso,
W31613,0.053532135,5.8370705,6Ery,
W31614,-0.46755624,4.7205005,7MEP,
W31615,-2.7126877,6.2315354,12Baso,
W31617,-6.803853,10.3379345,15Mo,
W31618,7.6905723,7.3777757,2Ery,
W31620,-2.723529,6.4876857,13Baso,
W31621,-1.4109138,6.4345956,10GMP,
W31622,-5.5537415,8.85372,14Mo,
W31623,-5.6230397,8.382898,14Mo,
W31624,-6.4739804,10.067204,14Mo,
W31625,-7.486596,10.843519,15Mo,
W31626,3.339511,5.2456474,5Ery,
W31628,-6.7413282,11.226926,16Neu,
W31629,4.68513,5.6663284,5Ery,
W31630,-6.2095485,8.713987,14Mo,
W31631,-6.036057,8.5252075,13Baso,
W31632,-8.341787,10.744394,15Mo,15Mo
W31634,7.9931855,6.911534,2Ery,
W31635,7.188834,7.061003,2Ery,
W31636,6.830683,7.1414394,2Ery,
W31638,-4.685909,7.869067,13Baso,
W31639,-4.741317,6.814408,13Baso,
W31640,4.421915,4.348568,5Ery,
W31641,4.1440353,5.444391,5Ery,
W31642,-2.4726517,6.0270333,9GMP,
W31644,-6.2710357,8.452117,14Mo,
W31645,-0.74438226,4.825478,7MEP,
W31646,-4.9303064,7.509936,14Mo,
W31647,-4.596702,2.6500995,11DC,11DC
W31648,-6.049637,10.97302,16Neu,
W31649,8.968511,5.2973013,2Ery,
W31650,5.595618,6.239392,2Ery,
W31651,-0.87282467,4.8185954,10GMP,
W31652,-0.6143479,7.237248,8Mk,
W31653,6.820044,7.0223627,2Ery,
W31654,6.013875,5.7931957,5Ery,
W31655,-7.8054028,6.9080687,13Baso,
W31656,-5.8382387,7.6890335,13Baso,
W31657,-3.7933183,6.698844,12Baso,
W31658,0.48048556,4.8341584,7MEP,
W31659,0.1768521,4.8799925,7MEP,
W31660,-4.6897197,7.7380915,13Baso,
W31661,0.41896778,4.1589923,6Ery,
W31662,5.61249,5.3750715,5Ery,
W31663,-5.971048,11.547675,16Neu,
W31664,-5.7256694,8.714139,14Mo,
W31665,-5.7084856,7.4370527,13Baso,
W31666,7.321214,6.220465,2Ery,
W31667,-4.528649,8.022072,14Mo,
W31668,5.590132,5.9409375,5Ery,
W31669,-0.6285805,4.6838384,7MEP,
W31670,-5.4551597,6.525617,10GMP,
W31671,-2.7566824,3.740059,19Lymph,19Lymph
W31674,-3.2877152,7.6155806,14Mo,
W31676,7.779593,4.6872163,4Ery,
W31678,-7.4841933,9.380509,14Mo,
W31681,-1.7501423,7.2888126,12Baso,
W31682,-3.2473085,5.752721,9GMP,
W31683,-8.657224,9.978555,15Mo,15Mo
W31684,-2.2433412,7.17581,17Neu,
W31685,0.21918678,5.439801,7MEP,
W31686,-6.42364,11.040113,16Neu,
W31687,-7.9723344,6.774705,13Baso,
W31689,7.435952,3.016966,3Ery,
W31690,-6.79717,10.963474,15Mo,
W31691,6.8439713,5.2974095,3Ery,
W31692,1.5565238,5.2910457,7MEP,
W31693,-0.54474074,7.3995886,8Mk,
W31694,-2.9966266,3.7676973,19Lymph,19Lymph
W31695,6.247897,5.522011,3Ery,
W31696,-5.589822,7.7429624,13Baso,
W31697,-2.9624557,6.3752747,9GMP,
W31698,6.081563,4.2830596,3Ery,
W31699,6.3631945,4.797993,3Ery,
W31700,8.684403,6.2729254,2Ery,
W31701,-5.776949,11.079991,16Neu,
W31702,-7.0143127,7.777611,14Mo,
W31703,-6.107084,11.554751,16Neu,
W31704,2.260501,5.504329,6Ery,
W31705,-6.355024,7.6344614,14Mo,
W31706,3.696375,5.02162,5Ery,
W31707,-5.675985,7.910177,14Mo,
W31708,-6.2356806,8.427018,14Mo,
W31709,-1.8412404,4.5503674,19Lymph,19Lymph
W31711,-5.1650705,10.214824,15Mo,
W31712,-3.108485,7.357635,13Baso,
W31713,-6.1724257,10.031924,14Mo,
W31714,-5.249485,7.0442147,13Baso,
W31715,-2.300348,7.2189074,17Neu,
W31716,-4.968935,7.839912,14Mo,
W31717,7.476381,7.3811193,1Ery,
W31718,6.1450305,6.560949,2Ery,
W31719,4.711609,4.915544,5Ery,
W31720,-0.27022758,3.9048276,6Ery,
W31721,-8.830488,8.810871,15Mo,
W31722,-4.226823,6.543926,10GMP,
W31723,1.0164475,4.7493134,6Ery,
W31724,-2.4273486,6.243139,10GMP,
W31725,0.0017851137,4.0126367,7MEP,
W31726,-5.220537,8.976962,14Mo,
W31727,-7.110147,6.987185,13Baso,
W31728,6.4754224,6.117132,2Ery,
W31729,-8.559631,9.314204,14Mo,
W31730,-6.5295553,8.765667,14Mo,
W31731,-0.54774183,4.1425486,6Ery,
W31732,-2.4829993,6.2003107,13Baso,
W31733,-5.4158664,8.264204,14Mo,
W31734,-3.706781,8.185308,14Mo,
W31735,6.5170727,6.364841,2Ery,
W31736,3.9567988,5.115087,6Ery,
W31737,-5.162831,6.5388227,13Baso,
W31738,-2.6903832,5.9646463,10GMP,
W31739,-5.81906,10.34866,15Mo,
W31740,-6.1535335,11.370471,16Neu,
W31741,-3.8145728,6.4268446,10GMP,
W31742,7.857085,7.5858016,1Ery,
W31743,-6.4726877,8.298825,14Mo,
W31744,-1.9630752,7.2886577,12Baso,
W31745,-4.0635257,5.967174,10GMP,
W31746,-0.74768835,5.3590817,12Baso,
W31748,-5.8969584,11.241223,16Neu,
W31749,-3.727745,6.4718666,10GMP,
W31750,-6.789743,6.6501145,13Baso,
W31751,-5.7890472,11.425773,16Neu,
W31752,1.3977662,4.696874,6Ery,
W31755,1.7066275,4.7732897,5Ery,
W31756,-3.695052,6.6891108,10GMP,
W31758,-5.853429,7.1172156,13Baso,
W31759,-2.7697248,3.8527517,19Lymph,19Lymph
W31760,-5.727839,10.017245,14Mo,
W31761,4.9841766,5.1782265,5Ery,
W31762,-6.116084,6.83123,13Baso,
W31764,-6.197165,7.6293206,13Baso,
W31765,-5.9072547,7.332702,13Baso,
W31766,-2.876608,3.8026204,19Lymph,19Lymph
W31767,-5.4539843,9.181651,13Baso,
W31768,7.9008894,3.6269708,4Ery,
W31771,-1.028312,6.5927477,12Baso,
W31773,-2.2767797,6.3017316,10GMP,
W31774,-4.686768,2.8200655,11DC,11DC
W31775,8.216684,7.1379223,1Ery,
W31776,-2.805183,3.937418,19Lymph,19Lymph
W31777,7.578054,4.540724,3Ery,
W31778,0.79611486,5.175137,6Ery,
W31779,1.5865537,5.4636908,6Ery,
W31780,7.6600814,5.9996796,2Ery,
W31781,8.54903,6.0318675,2Ery,
W31782,-5.43484,7.231903,13Baso,
W31783,4.646991,3.837954,3Ery,
W31785,-7.055949,11.175677,15Mo,
W31786,7.7352695,5.71977,2Ery,
W31787,-2.978406,7.4106336,10GMP,
W31788,3.0877948,5.515165,5Ery,
W31789,-4.260433,7.793816,13Baso,
W31791,-2.7342114,6.028229,9GMP,
W31792,-3.504112,5.9241853,9GMP,
W31793,-2.4940119,6.9143534,12Baso,
W31794,-1.7911978,5.997951,17Neu,
W31795,1.1653538,5.1950383,6Ery,
W31796,0.05860778,4.4457684,7MEP,
W31797,3.8680766,4.782166,6Ery,
W31798,-6.7912245,7.4641166,14Mo,
W31799,-4.6549253,7.808684,14Mo,
W31800,-2.6595736,3.6775491,19Lymph,19Lymph
W31801,-6.346606,7.2794275,13Baso,
W31802,-4.724703,7.3590693,13Baso,
