,11DC_corr,11DC_pval,11DC_qval,11DC_ci_low,11DC_ci_high,19Lymph_corr,19Lymph_pval,19Lymph_qval,19Lymph_ci_low,19Lymph_ci_high,7MEP_corr,7MEP_pval,7MEP_qval,7MEP_ci_low,7MEP_ci_high,15Mo_corr,15Mo_pval,15Mo_qval,15Mo_ci_low,15Mo_ci_high,3Ery_corr,3Ery_pval,3Ery_qval,3Ery_ci_low,3Ery_ci_high,gene
Ctss,0.38338646472681465,8.228872354643237e-99,1.3522780236130387e-96,0.3509188868108662,0.4149333460838601,0.06398715747427283,0.0008197905347518351,0.001492139839361067,0.026536140478154592,0.10125880569870757,-0.04721735776976045,0.013603830477643464,0.018578084281103125,-0.08458224930159194,-0.009719859060075964,0.15675784175360558,1.5310262349388892e-16,4.785843783309878e-16,0.11994851012348229,0.1931367732687169,-0.21105784381002463,4.576853034569171e-29,1.0945751782604441e-28,-0.24661987902403334,-0.17492816976863515,Ctss
H2-DMb1,0.3766804518197529,4.3441237655228065e-95,6.814350506736003e-93,0.3440272050062427,0.40842370777909853,-0.013395936019956409,0.4841853810121346,0.5597734505436772,-0.05088507993182876,0.024130906781045607,-0.04157787766239749,0.029819648257189857,0.03905411997554543,-0.07896941850440702,-0.004069509269944791,0.17334382176842825,5.99228827951399e-20,2.19293603951249e-19,0.13671817650512116,0.20949619563191132,-0.20561822862260448,1.2473557638388731e-27,2.8774229552192185e-27,-0.24127184366560586,-0.16941029446926326,H2-DMb1
Itgb7,0.3761134704768515,8.877902720122607e-95,1.3320714037888311e-92,0.34344468694766145,0.4078731814777884,0.03255784086430672,0.08898169613073653,0.12579919432493725,-0.004962936798384961,0.06998707472146026,0.002973037475576957,0.876620674404331,0.8934488917216026,-0.034545531420167586,0.04048323821333952,-0.05136124430487411,0.0072642384903816295,0.009378558559785635,-0.0887050431476795,-0.013873259394767565,-0.07050656535205602,0.00022600538577779354,0.0002917862275791865,-0.10773631510109384,-0.03307934539689901,Itgb7
Lgals1,0.37269814071747287,6.367946007372705e-93,9.156575696434669e-91,0.3399363002068922,0.4045564834809856,0.12950237488992897,1.0397241525587394e-11,4.3597667685057226e-11,0.0924367392576052,0.1662096038857268,0.08505691821673218,8.48806620023011e-06,1.4089618305432472e-05,0.04769438964205574,0.12218176605547085,0.5217631900370144,1.1736864768326828e-200,8.266106186835895e-199,0.49391629175197055,0.5485408777180285,-0.5744537611520483,9.531805133259149e-256,5.575298222860563e-254,-0.599058485372858,-0.5487651928562151,Lgals1
Selplg,0.3719643677981325,1.5832258769445903e-92,2.1854850005343128e-90,0.3391826532719073,0.40384379189871156,0.14042070685291025,1.5635106916142877e-13,8.225114934086749e-13,0.1034509542901898,0.1770029987979978,-0.10656872563636376,2.319530223374154e-08,4.2174387781160206e-08,-0.14350970477852656,-0.06933118854012842,0.3387254897641814,9.824456712835245e-76,1.3561680046397772e-74,0.3050875798286733,0.37151923993743446,-0.3330131229406763,4.622466534533801e-73,4.1759507881351167e-72,-0.36595598996174034,-0.29923673948155843,Selplg
5430435G22Rik,0.3718986829336861,1.717499304521333e-92,2.2796500384242767e-90,0.33911519140491586,0.4037799922770415,-0.044775961035960245,0.0192942810517741,0.029925646700976364,-0.08215268039912228,-0.007273462748407135,-0.08190936340789173,1.8112868466326593e-05,2.9751313220986708e-05,-0.11905823642584695,-0.04453148410088323,0.16354437600095156,6.825997325972571e-18,2.2848221893240877e-17,0.12680766577068672,0.1998330520591065,-0.16698826676697742,1.3358658456490698e-18,2.5682858124428636e-18,-0.20322984580397632,-0.1302897532515206,5430435G22Rik
Ly86,0.3685907836490675,1.0089740992002932e-90,1.2896183764223007e-88,0.33571823801401196,0.40056663300868645,-0.012793645778417512,0.504050991681358,0.5771333683783566,-0.05028422780478425,0.02473294073703254,-0.08585832199012743,6.968559687007573e-06,1.1595226364447027e-05,-0.12297693530228168,-0.04849982157676574,0.3507623516221144,1.445334509944729e-81,2.131559570008231e-80,0.31742454591975067,0.3832341847407056,-0.31427718800422105,1.0325277289903107e-64,7.470132479550445e-64,-0.3476926014170818,-0.28006443722115926,Ly86
Actb,0.3678100292809464,2.6190948948454685e-90,3.22803445789704e-88,0.33491658915060646,0.3998080779107448,0.2361081784219447,3.2135672626896606e-36,1.7887130037970997e-34,0.20036823034180587,0.27122054986811184,0.011353109738790643,0.5532529986288648,0.5925748287610839,-0.02617275340510385,0.048847021308945436,0.18416063476881298,2.290912305318585e-22,9.388199549263942e-22,0.14766610465116226,0.22015436279997813,-0.30284815431558604,6.350817523309383e-60,3.984849322352852e-59,-0.3365393582714772,-0.26838260357969557,Actb
Ctsh,0.36494438547622204,8.473924179155705e-89,9.433391078150431e-87,0.33197466326069025,0.39702353754237557,-0.002256839757802704,0.9061834056683513,0.9241249801895627,-0.03976818873679608,0.035260861533406,-0.0671554965460188,0.0004444263587941881,0.0006816512729772191,-0.10440717746162292,-0.029715643802384704,0.2631706449770914,5.479903358618417e-45,4.367470321152923e-44,0.2279059929397465,0.2977457846747871,-0.2595871163594064,9.202189533974433e-44,3.3747881064554483e-43,-0.29423645852938984,-0.22425628366805395,Ctsh
Anxa2,0.361283031859932,6.811507733109272e-87,7.34578537092503e-85,0.3282167791635076,0.3934649480462567,0.2509357968893525,6.920778026507475e-41,5.4280920385175676e-39,0.21544927412359652,0.28576042558235115,-0.023914522485740677,0.21163913870930284,0.24833956738721663,-0.06137417679759615,0.013612405777562366,0.275747760924156,1.9049187462751804e-49,1.685608870101448e-48,0.24072323025155304,0.31005508140403915,-0.3551588836373261,9.127485976008924e-84,9.999667969271999e-83,-0.38751053146477826,-0.32193350823313,Anxa2
Laptm5,0.35716028217043,8.841700625515595e-85,8.974326134898328e-83,0.3239865868661597,0.3894567579377684,0.19879569755230783,6.8887210966986e-26,1.4765823915967e-24,0.162492814695281,0.2345611120468725,0.21308162469150083,1.3059604842980294e-29,4.6897706881503635e-29,0.17698164633923122,0.24860903542555132,0.4882324723599122,5.812808123032535e-171,3.0393940655432236e-169,0.4591270833185075,0.5162908553259147,-0.6322069284942062,0.0,0.0,-0.6542058039465789,-0.6091392056762135,Laptm5
L1cam,0.3512624107256205,8.159747355231906e-82,7.410338979711923e-80,0.31793731681629395,0.3837206442093967,0.04601977244973367,0.016177656264892246,0.025411511957279535,0.008519765190743602,0.0833905214357245,-0.02442162369654715,0.2021084270594644,0.23804647842396304,-0.061879647343833596,0.013105098746244733,-0.04357247006821278,0.022796625093893467,0.028238030581129347,-0.08095485648522675,-0.0060676723982784845,-0.05821575257258571,0.002338373428382655,0.002842453927914245,-0.09552185380716947,-0.020746345559607426,L1cam
Psap,0.3494185836739043,6.680207773616366e-81,5.911127442756431e-79,0.316046715187425,0.38192687272783493,-0.025105397026873137,0.18975758159655565,0.24870999395735416,-0.0625611914713905,0.012421017299329385,-0.1520845838236159,1.2038555027552914e-15,2.7882586174553764e-15,-0.18852369479826472,-0.11522728679261683,0.19207795264901664,3.0968422598620398e-24,1.3579672984477635e-23,0.15568506433434973,0.22795011707205004,-0.14924728225267625,4.079888463052185e-15,7.40646769384171e-15,-0.1857221455837596,-0.11236167589674437,Psap
Tmsb10,0.34928686089246297,7.758392809864433e-81,6.69355339671054e-79,0.31591166097867274,0.381798716535863,0.17952048580955113,2.6073753752595304e-21,3.434371152679633e-20,0.14296861488500393,0.21558332137267405,0.059006130613703814,0.002036040307098249,0.002983598768490895,0.021539093572224735,0.09630766008877625,0.16965681797460352,3.6827204022841315e-19,1.3034941649520553e-18,0.13298852443141515,0.20586130343664902,-0.29882254646549367,2.730924293223653e-58,1.6137705027251415e-57,-0.33260863875946295,-0.2642703655259727,Tmsb10
Wdfy4,0.3482559929688534,2.495569491899552e-80,2.1005391015964278e-78,0.31485476787531713,0.3807957177095843,0.005110215558674293,0.7895759677209411,0.8282147916732425,-0.03241071378454284,0.04261676151326818,0.036100298109216666,0.05929469861881328,0.07492713472483509,-0.001416335964716471,0.0735154526291696,0.18887947322534146,1.8039160777539283e-23,7.704597010307928e-23,0.15244494554909696,0.22480130114689414,-0.25700968469454694,6.80433965571135e-43,2.4283119081551054e-42,-0.2917118187447689,-0.22163186458257603,Wdfy4
Fcer1g,0.34453283731872625,1.6322384174801484e-78,1.2801942678918165e-76,0.3110383075287098,0.3771725782521199,0.17023571586026967,2.77676728758265e-19,2.877664837671989e-18,0.13357404982096446,0.20643208538317015,-0.022590064929107513,0.23805216004626106,0.27660538865981377,-0.06005388761024561,0.014937309782341635,0.3841519046050388,3.0506101255459813e-99,6.192738554858342e-98,0.35170574307674035,0.41567616600576507,-0.4136667283750416,7.647343494505931e-117,1.4265395891643225e-115,-0.44428674063040263,-0.3820813765912262,Fcer1g
Napsa,0.3371186488101871,5.626036528555048e-75,4.3145449022318824e-73,0.30344153070414887,0.3699545823154928,-0.007120407045087603,0.7100128574131037,0.759533282992133,-0.04462320323377145,0.030402429994321332,-0.057097191137226146,0.002836701440178336,0.00411494605719018,-0.09440968296214984,-0.019624510601874208,0.6761442190281939,0.0,0.0,0.6552501581322872,0.6960045306621053,-0.5704432079684528,3.8335461616589385e-251,2.1687816071942617e-249,-0.5952202026984225,-0.5445825670814072,Napsa
Fxyd5,0.33626186208268216,1.4202195357452497e-74,1.0428037484801823e-72,0.3025639198680717,0.3691202120960707,0.11717248409597918,7.893078445709635e-10,2.7293600917979908e-09,0.08000946515759741,0.15401021848116825,0.0822483581360799,1.6714404053868373e-05,2.749352163484259e-05,0.04487209611538503,0.11939467895437803,0.5073990051611683,1.7821505315271588e-187,1.11821845169095e-185,0.4790020596793143,0.5347350765926192,-0.5492470883896169,5.534489018738893e-228,2.6900734653053406e-226,-0.5749157523516948,-0.5224983722516918,Fxyd5
S100a4,0.3320531528896264,1.2825750394391204e-72,9.032992777764091e-71,0.29825374801016635,0.3650208480356226,0.056481960037454614,0.0031503933451111723,0.005376858275953835,0.019007519218147084,0.09379792711096621,-0.038348248747824464,0.04511781906044438,0.0579031586380043,-0.07575398321619542,-0.0008347336745780701,0.014917448835625617,0.4359460229187011,0.4641930654404312,-0.022609920155926822,0.05240283889773494,-0.09258328072777887,1.2430585926787755e-06,1.7770485515055734e-06,-0.12964769967855447,-0.05526049750735958,S100a4
Sh3bgrl3,0.33169704555190394,1.8709569760197256e-72,1.2913345048488147e-70,0.2978891189522665,0.3646739339409938,0.182512463610266,5.476087748687244e-22,7.77694601675707e-21,0.14599737758527567,0.21853091949302939,0.015271208905697992,0.42514038426888956,0.46709947981914607,-0.02225625753525014,0.05275570136563802,0.5712539156860602,4.55790273348564e-252,4.494092095216841e-250,0.5454279544580641,0.5959961782166426,-0.5762832630255476,7.147816734206523e-258,4.2529509568528814e-256,-0.600809026784762,-0.5506736166755527,Sh3bgrl3
Fcgrt,0.32737834501179014,1.7470371794506782e-70,1.1821618247616256e-68,0.2934678561955892,0.3604659958000232,-0.00714390326805453,0.7090994176236769,0.758791345804437,-0.044646653838634254,0.030378954278174712,-0.008577222078111572,0.6542113656653958,0.6883181167412442,-0.046077111692291735,0.0289468081365376,-0.009281373005434614,0.6278937216542253,0.6526690462134733,-0.04677980077766005,0.02824317687272261,-0.07331879598022445,0.0001252373917921565,0.0001640828546221458,-0.11052949680375009,-0.03590283199243133,Fcgrt
Lcp1,0.3245804434489296,3.167110952701665e-69,2.062207527881782e-67,0.2906042830966874,0.35773913340052194,0.13185582718575742,4.331283818119612e-12,1.9163154431193307e-11,0.09481009258210929,0.16853686978647742,-0.030871035440415282,0.10682729686005155,0.13077722648600137,-0.06830664421852342,0.006651383588336279,0.45253475000522925,3.4924352829857266e-143,1.2425148620189425e-141,0.4221873880139489,0.48186891585090375,-0.4462302801085355,1.1963531102366669e-138,2.7708822707561996e-137,-0.47578033700398314,-0.4156740315053973,Lcp1
Cfp,0.3238113699773309,6.983655229514108e-69,4.463072999454294e-67,0.28981726477867,0.3569894877299703,-0.02572957137694025,0.1789766930128659,0.23640733859108334,-0.06318330042297263,0.01179653101875356,-0.06828073936399806,0.0003553169440587404,0.0005466780088928726,-0.10552514920123467,-0.030845033981425022,0.27638262485632537,1.1172633772533272e-49,9.91176327738106e-49,0.24137053899241487,0.31067612163170183,-0.25223217606876425,2.608742383246039e-41,8.791767543537187e-41,-0.2870308856652982,-0.21676861547136644,Cfp
Pkm2,0.322840036822297,1.889300160829122e-68,1.1854499736402366e-66,0.28882333313211656,0.3560426306425318,0.06658997411180272,0.0004967039480115443,0.0009285619309793279,0.029148073087847143,0.103845273762704,0.011762855204545735,0.5390219281704477,0.5791297241955837,-0.02576322953866667,0.04925583552185107,0.7439666097623658,0.0,0.0,0.7267348423698898,0.760262626880435,-0.6743207220774252,0.0,0.0,-0.6942724620228347,-0.6533333473819082,Pkm2
Emb,0.3209019901370962,1.3603031175861838e-67,8.382867962124858e-66,0.2868404160274743,0.35415321594093196,0.027333859157804345,0.15336425775389761,0.20682299863567827,-0.010191307173250569,0.06478214606335303,-0.08607470809806865,6.6051593227781526e-06,1.1001160628816316e-05,-0.1231916298614805,-0.04871730365439833,0.5929216962539868,6.204586670064952e-278,9.73274027199734e-276,0.5680421050251302,0.6167185629609861,-0.4956387385587495,3.339062529039426e-177,1.097438551210958e-175,-0.5234210953471337,-0.4668036513703579,Emb
H2afy,0.31146176271119363,1.6390852140426553e-63,9.7525570235538e-62,0.27718579636591983,0.3449459918584385,-0.0454087719608097,0.01764860932026063,0.02754651775857957,-0.08278246820042576,-0.007907526469001688,-0.011803727301580986,0.5376124995039313,0.5777953085605939,-0.04929661403738576,0.02572237885528979,0.5821105529161669,9.569220717766688e-265,1.138737265414236e-262,0.5567540720777863,0.6063832461425952,-0.5073508310319812,1.9676984341268203e-187,6.790527296171657e-186,-0.5346887505859463,-0.47895206838868404,H2afy
Unc93b1,0.31092660031767283,2.7622967109078767e-63,1.6157094829395056e-61,0.2766386874057345,0.3444238452478761,-0.03566672816645879,0.06241565656166357,0.09027511768411609,-0.07308365618923703,0.0018504637451791863,-0.12268248804167917,1.2026418134413956e-10,2.3689023391474065e-10,-0.15946329034398785,-0.08556156051483071,0.48874921324033554,2.1604796320307867e-171,1.1649711265841006e-169,0.45966254235079734,0.5167884639114475,-0.37801457015787304,8.032641368696198e-96,1.1222933345494163e-94,-0.4097190159831632,-0.3453979807061126,Unc93b1
Psmb8,0.30791387162595457,5.1056209360473475e-62,2.8884422705408845e-60,0.273559119533284,0.34148400291618725,0.052230785107142345,0.00633320673180262,0.010477419190532522,0.01474496078255745,0.08956999553267403,0.013380982329519167,0.4846734159435213,0.5259773454154377,-0.024145854437924406,0.05087016227550024,0.4377380817132426,1.0496046063966529e-132,3.3538754598841193e-131,0.40690541173519323,0.4675744675239905,-0.4348522673515263,9.962987806497415e-131,2.2182110271111344e-129,-0.46478478215053076,-0.4039269569852401,Psmb8
Tifab,0.3064168527242194,2.1462452346614288e-61,1.19462779109945e-59,0.2720291502733966,0.3400229567693636,-0.03293279128767794,0.08536065062207154,0.12122617501924646,-0.0703605792440294,0.004587592459935768,-0.12513325487059768,5.066275359598743e-11,1.0129615449580105e-10,-0.16188801367435957,-0.08803178995151995,0.4564333229484447,4.846455201199245e-146,1.8179474890585426e-144,0.42621670128685785,0.4856325687052512,-0.3515939004079212,5.582352082632802e-82,5.927599088358707e-81,-0.38404310875137654,-0.31827724390450596,Tifab
Anxa6,0.3057890515193234,3.9089764353612546e-61,2.1351034792420336e-59,0.27138758249461314,0.33941019308504505,0.1325199596902299,3.373248279736491e-12,1.5217097795255727e-11,0.09547991725456112,0.16919353864278372,-0.10573275263274157,2.987777453968657e-08,5.4210410061229416e-08,-0.14268151745765628,-0.06848970344160685,0.17689551019846006,1.0022217044492636e-20,3.7840996740201405e-20,0.1403119301580627,0.21299674040472227,-0.19091098484684293,5.912189392303295e-24,1.2501817152474677e-23,-0.22680135597035483,-0.15450281363327178,Anxa6
Rassf4,0.30247748264427904,9.003005812978567e-60,4.779903547782928e-58,0.26800390262094714,0.336177472839293,-0.035817132742992315,0.061317965353736854,0.08872465343217857,-0.07323344713011996,0.0016998672577583857,-0.0886587047133885,3.4504189753343857e-06,5.81984158547359e-06,-0.12575515822798175,-0.05131466165138178,0.3196586378305299,4.7877435047471546e-67,5.943346343482888e-66,0.2855684308107456,0.35294092048947073,-0.2658010663133873,6.7111240646234665e-46,2.680565873497174e-45,-0.3003211445273109,-0.23058562373610006,Rassf4
Ahnak,0.30123603188349196,2.885908039230548e-59,1.5089800974825182e-57,0.2667356378153,0.33496537640212554,0.40395830907732655,7.751420105269928e-111,1.783343385552435e-108,0.3720822696955144,0.43488264759192574,-0.05873510817508257,0.002135418668458149,0.0031252458968825583,-0.09603821055532495,-0.021267253156965014,-0.04913586982085997,0.010229400481004266,0.013079533553147728,-0.08649115504159267,-0.011642614923972098,-0.1114689041625227,5.057377771459851e-09,7.83348774205922e-09,-0.14836320608285553,-0.07426474289989107,Ahnak
