,umap_1,umap_2,paul15_clusters,priming
W31150,-2.9810274,7.585816,12Baso,0.08632061781201186
W31151,8.70292,3.6804798,3Ery,0.6280861638683883
W31152,-7.486655,7.5224233,14Mo,0.3630331665875726
W31153,5.9150434,4.053491,6Ery,0.56891503381869
W31154,7.105807,4.6799912,4Ery,0.6028192686796078
W31155,-0.7433455,4.743268,7MEP,0.5176374899611657
W31156,8.395204,5.936741,2Ery,0.6071619383949973
W31157,-3.3646357,5.9576144,13Baso,0.18140593749438555
W31158,-7.4977517,9.826473,14Mo,0.5384538647209814
W31159,4.726878,4.3733172,6Ery,0.468566910768782
W31160,-1.2114888,5.3994107,18Eos,0.4307224197289219
W31161,7.223895,5.6933665,4Ery,0.596646791266313
W31162,6.8714604,4.8542895,3Ery,0.5978661297129286
W31163,6.563403,5.0750494,3Ery,0.5832245648911698
W31164,-7.618788,7.8451877,14Mo,0.3645397469329565
W31165,8.439215,5.519137,2Ery,0.6110502559434066
W31166,-6.180852,7.211436,13Baso,0.3098784983936725
W31167,8.876543,5.7588716,2Ery,0.6107848997543223
W31168,-9.124124,7.4622064,13Baso,0.4188266317445776
W31169,-6.5899463,6.645201,13Baso,0.3022404063256179
W31170,-8.742626,8.173448,14Mo,0.42639596249354356
W31171,-0.42331254,4.5307345,7MEP,0.48575712732921555
W31172,4.6910763,3.4499671,7MEP,0.46316438683670513
W31173,-0.43272984,5.0966415,7MEP,0.5782066595623814
W31174,-4.037222,5.916346,10GMP,0.1647921066347087
W31175,-3.1104596,7.335657,12Baso,0.10461864995715185
W31176,3.3129866,4.4364796,6Ery,0.21175612824728296
W31177,4.770334,4.839007,5Ery,0.4371327925952331
W31178,5.1526136,5.212995,5Ery,0.4824975930473327
W31179,-6.902704,9.858998,14Mo,0.40067997555289975
W31180,7.4907575,5.547132,4Ery,0.6031594428333215
W31181,-7.0057745,11.19231,16Neu,0.5306356964428445
W31182,-7.7878046,10.278083,16Neu,0.5912631902364209
W31183,7.834867,3.6850026,3Ery,0.6190179326062293
W31184,7.0833535,5.5468774,2Ery,0.6003677964229849
W31185,6.610882,5.8981333,6Ery,0.5888473977967553
W31186,-6.321574,6.243715,13Baso,0.2772474042802998
W31187,-4.7218065,6.0698895,13Baso,0.14199439367066716
W31188,-3.4964306,6.246165,10GMP,0.13126891958694623
W31189,-6.9072967,9.758239,14Mo,0.41590572629943473
W31190,5.6891356,5.8354936,5Ery,0.5603072390197075
W31191,0.08362714,4.468735,7MEP,0.5456746014544334
W31192,0.22372517,5.430943,7MEP,0.56942633894375
W31193,7.3735237,4.730391,5Ery,0.6087944416556677
W31194,4.3655915,4.8688145,6Ery,0.3337607273025626
W31195,8.776019,5.5844355,2Ery,0.6124991426038789
W31196,3.1143901,5.1856966,10GMP,0.10639040827572016
W31197,-4.2914557,6.22651,10GMP,0.07475979570826849
W31198,7.86488,5.681798,2Ery,0.6062563399496013
W31199,-1.1155785,4.5420365,7MEP,0.5713013754747254
W31200,3.6927958,4.716976,6Ery,0.23054141030623151
W31201,0.6363948,4.744288,7MEP,0.45224507906565314
W31202,-6.583789,7.7894077,14Mo,0.3158457422472929
W31203,-5.3342667,8.885079,16Neu,0.3038381084081072
W31204,-4.1332955,5.768752,10GMP,0.15442300269520856
W31205,5.5675316,5.7888193,3Ery,0.5511481604083092
W31206,8.526059,3.2985451,3Ery,0.48575712732921555
W31207,-7.687627,7.9795933,13Baso,0.38149098183851315
W31209,8.931653,5.9454117,1Ery,0.6133440866032777
W31210,-5.8293824,8.87446,14Mo,0.32057080281944755
W31211,-7.1839247,8.513858,15Mo,0.36759187588904935
W31212,6.6068754,6.982534,2Ery,0.5926647637354727
W31213,2.5148087,5.308216,5Ery,0.20229777861635018
W31214,7.4498653,7.474091,2Ery,0.5979061740782516
W31215,3.8586366,5.4305196,5Ery,0.2588115920914973
W31217,7.955603,3.8850405,3Ery,0.6195010427181398
W31218,-6.013776,8.6976,14Mo,0.32655427811686827
W31219,-4.7301393,5.846579,10GMP,0.1542368283637531
W31220,7.534758,7.0543485,2Ery,0.6004412955876458
W31221,-0.20238236,4.331738,7MEP,0.48575712732921555
W31222,7.200543,4.4488006,4Ery,0.6104980533946941
W31223,-4.0981097,5.9837403,9GMP,0.03443383161188959
W31224,0.10845386,5.7396417,7MEP,0.5390524442746321
W31225,6.9955974,6.848842,3Ery,0.5941750787672103
W31226,-6.2619967,10.882542,16Neu,0.42625809611591103
W31227,-4.593146,2.4399097,11DC,0.48575712732921555
W31228,-1.8898668,6.424313,10GMP,0.2660194924227846
W31229,4.6131706,3.7135854,6Ery,0.4202071435896334
W31230,3.71109,5.1600027,3Ery,0.2749094776521927
W31231,6.5778017,7.0445576,2Ery,0.5244505494808284
W31232,7.3097353,5.501037,5Ery,0.6030012678569466
W31233,5.319697,6.7736597,2Ery,0.47965211369178457
W31234,7.9342985,6.397823,2Ery,0.6012268890495783
W31236,5.3737106,6.6324277,5Ery,0.5340430981115611
W31237,-6.083748,7.9982724,14Mo,0.3071850028403201
W31238,5.9984684,4.0964994,5Ery,0.5597975961302164
W31239,-6.6491537,8.088634,14Mo,0.3438864248820078
W31240,6.061717,3.7745166,3Ery,0.5820437220817894
W31241,6.3900504,6.750216,2Ery,0.5827215306108277
W31242,-4.9375734,10.511647,16Neu,0.3177981521245548
W31243,8.687581,6.5254617,2Ery,0.601485177761841
W31244,-3.0432088,6.8876266,13Baso,0.2234819253142688
W31245,-5.23218,10.537728,16Neu,0.3776965588599018
W31246,7.060069,7.497469,2Ery,0.5940115364143598
W31247,8.82626,5.5685496,3Ery,0.6111173471791123
W31248,7.534723,3.469337,3Ery,0.6227915926781982
W31249,-6.021461,7.556961,14Mo,0.3017563127114832
W31250,5.8841777,6.563425,5Ery,0.5401943403975862
W31251,-6.9069767,11.5337105,16Neu,0.5179474721310773
W31252,-6.158548,8.150014,14Mo,0.312771304682702
W31253,-3.4380953,7.8133545,14Mo,0.17251082846845278
W31254,-8.61359,7.386631,13Baso,0.41506695904087304
W31255,7.7250595,5.2818217,3Ery,0.608995192847753
W31256,-5.1962247,8.498979,14Mo,0.27345644232701555
W31257,0.316784,4.6810546,7MEP,0.48741720139267336
W31259,-6.248795,7.1067553,14Mo,0.24337743905622472
W31260,-2.9334772,6.9361405,10GMP,0.22006230638181035
W31262,3.8928912,6.307788,2Ery,0.3482683620861111
W31263,-3.3753717,7.3688393,14Mo,0.15962544357141806
W31264,-4.4747286,9.068005,15Mo,0.23449070249734105
W31265,-6.897299,7.894335,14Mo,0.33539380381847417
W31266,-6.932581,11.1018095,16Neu,0.5216144228438565
W31267,-2.4566905,5.690261,10GMP,0.29632036651885263
W31268,-0.94226265,4.599181,7MEP,0.648270522353047
W31269,3.818592,6.178908,5Ery,0.2893478421508328
W31270,-5.7481785,11.292136,16Neu,0.4381619724535117
W31271,5.4218407,7.0031533,2Ery,0.508538875735789
W31272,-5.6267095,10.168095,16Neu,0.34467209316752706
W31273,-5.5009785,9.695501,14Mo,0.29924011557328406
W31274,-4.3513703,6.6779017,10GMP,0.13337946892630023
W31275,-5.9793415,11.077106,16Neu,0.44225970931404407
W31276,-0.3313447,5.565086,8Mk,0.4859179182618342
W31277,0.40562698,4.335606,7MEP,0.4890559892715908
W31278,-6.8320413,7.5471554,14Mo,0.32245368824503207
W31279,0.10151079,5.3775845,7MEP,0.5330336488151627
W31280,6.879241,6.3392053,2Ery,0.5952774601943858
W31281,-6.606892,7.471148,14Mo,0.33608065594365816
W31282,-3.7758138,7.631547,14Mo,0.18086362296693234
W31283,6.1814537,6.0008907,4Ery,0.5738311392095135
W31284,4.742543,6.1586623,5Ery,0.44782116933081617
W31285,-3.9721773,8.020278,14Mo,0.18111096919185765
W31286,-3.9922996,8.096142,14Mo,0.19468554892469955
W31287,-0.5974041,6.192097,10GMP,0.3434873643151739
W31288,0.7996437,4.7628675,6Ery,0.4180533118226832
W31289,5.3717055,5.8472238,5Ery,0.49953103316099534
W31290,-5.7215133,8.28938,14Mo,0.29483317128025205
W31291,8.511718,4.024507,3Ery,0.622421519044521
W31292,5.468979,4.3052273,5Ery,0.5450984772276424
W31293,-7.3291965,8.902886,15Mo,0.38820898037747514
W31294,5.485282,6.029569,5Ery,0.5554505770948988
W31295,-5.4887476,8.612965,14Mo,0.2961208758072927
W31296,-6.1507134,9.163359,16Neu,0.3328545563867338
W31297,-0.80641735,5.292503,8Mk,0.6710761845879237
W31298,9.115197,4.43004,3Ery,0.6222959372578771
W31299,-7.8723097,8.7765045,14Mo,0.3835571077976926
W31300,-0.91828823,4.7729807,12Baso,0.6409396568936095
W31301,-7.6433434,8.224742,14Mo,0.2942330792867808
W31302,8.661044,3.2262049,3Ery,0.48575712732921555
W31303,4.0408716,4.940801,5Ery,0.28381768969674265
W31305,-3.406898,7.795356,16Neu,0.1757669664418145
W31306,-8.328582,10.008635,15Mo,0.7322777817817178
W31307,-7.6293297,7.436349,13Baso,0.37147184978391706
W31309,6.667664,5.11794,5Ery,0.5954143933095862
W31310,8.383248,3.0805888,3Ery,0.48575712732921555
W31311,-5.043832,6.908363,13Baso,0.20264942342925485
W31312,-2.1264508,7.1271152,12Baso,0.1741671653007195
W31313,-0.67308885,5.180282,8Mk,0.48575712732921555
W31314,-0.024969006,6.7633767,7MEP,0.20705719050071492
W31315,4.1758404,4.297141,6Ery,0.36989094511171267
W31316,8.038893,5.9081883,2Ery,0.6066544910264163
W31317,9.138056,3.8143394,3Ery,0.6254319370995954
W31318,8.681322,4.464376,3Ery,0.6194146267112082
W31319,-7.657315,8.831456,15Mo,0.3919079767345295
W31321,4.456927,3.6593604,3Ery,0.37376620655690607
W31322,7.1391096,4.513862,3Ery,0.5998346435177037
W31323,6.2097096,3.5804744,3Ery,0.5934571644969334
W31324,0.62089634,6.310852,8Mk,0.24120611014908774
W31325,7.0264645,6.250723,2Ery,0.596867847743188
W31326,8.445577,5.28545,2Ery,0.6098791614347633
W31327,-7.9408283,8.706441,14Mo,0.40545163150035357
W31328,6.8419676,4.275044,3Ery,0.6006571921632378
W31329,-8.705162,8.708712,15Mo,0.4662146399569886
W31330,-7.921681,8.148488,14Mo,0.37887511195126805
W31331,0.59174377,4.7835345,7MEP,0.45626050242051
W31332,-4.8534126,9.599878,15Mo,0.27529415281569236
W31333,6.9644694,4.9322586,3Ery,0.6017547626708921
W31334,6.899088,5.529348,3Ery,0.5853490167694108
W31335,-4.004297,7.8145757,13Baso,0.1770672698204507
W31336,-8.7603655,8.858503,15Mo,0.4849600817886603
W31337,8.495904,4.1211276,3Ery,0.6219676149069405
W31338,-8.377621,9.016525,15Mo,0.47674062617204044
W31339,-7.7679543,7.448685,13Baso,0.3770607860521438
W31340,5.5335836,3.9626744,3Ery,0.5419973773665311
W31341,-6.448397,9.6318655,15Mo,0.3951838101608664
W31342,-8.047958,10.243289,15Mo,0.7060750237206367
W31343,-9.1610985,7.7366304,13Baso,0.422849366033714
W31344,-3.0457592,4.5507903,19Lymph,0.48575712732921555
W31345,6.2928877,4.1796255,4Ery,0.5854564100570947
W31346,6.911158,4.6481895,3Ery,0.6000216215486434
W31347,-6.338546,7.8014836,14Mo,0.2885901162307483
W31348,7.2015305,5.252429,4Ery,0.599712285908576
W31349,3.1149566,5.319823,6Ery,0.21036549412261915
W31350,-8.196431,11.014519,16Neu,0.48575712732921555
W31351,-8.600605,7.9374843,14Mo,0.40319011822543777
W31353,8.578993,5.888066,3Ery,0.6092056045986258
W31354,-1.7574196,6.2755327,17Neu,0.3725381719556813
W31355,-7.533683,8.556509,15Mo,0.3930633542776052
W31356,5.5798154,5.119098,4Ery,0.5404307815908996
W31357,8.085135,3.6755073,3Ery,0.6248883539258975
W31358,2.8152795,5.273638,6Ery,0.20574243930458627
W31359,-6.5830073,8.325587,14Mo,0.31748726253835785
W31360,6.989852,2.775784,3Ery,0.6212940759062346
W31361,-5.2915115,9.522899,16Neu,0.3301792003245342
W31362,-7.653389,7.628838,14Mo,0.3773571376235656
W31363,-6.972907,10.306787,15Mo,0.47179879827581656
W31364,1.4155152,5.615716,7MEP,0.30145827585482976
W31365,-5.7703314,6.4553156,13Baso,0.24319635392454936
W31366,-5.4871144,9.669698,15Mo,0.29935183086340034
W31367,-8.116472,7.343806,14Mo,0.3899290633380011
W31368,8.260337,3.7752762,3Ery,0.6220272579576613
W31369,6.724791,6.603598,2Ery,0.5711984624213974
W31370,7.8743534,5.2301164,2Ery,0.6112584117053996
W31371,-7.7596703,8.704549,14Mo,0.37196152835670504
W31372,8.77646,5.6463284,2Ery,0.6119731574624336
W31373,-7.8944435,8.518277,13Baso,0.2776668614271973
W31374,7.890264,5.3823185,2Ery,0.6068970489166239
W31375,6.8760977,3.816393,3Ery,0.6026197957381165
W31376,-4.0952134,6.279497,13Baso,0.10206734149558924
W31377,-0.9456432,5.954358,12Baso,0.38067812842306814
W31378,6.979105,6.4758935,2Ery,0.5984150491140744
W31379,-3.4583957,6.073271,10GMP,0.14315527824277532
W31380,5.0816374,5.9284935,5Ery,0.48825558725048157
W31381,-6.3558574,6.962519,13Baso,0.3128020819027307
W31382,6.7633624,4.344008,3Ery,0.6004401476270054
W31383,-3.1539729,6.0628285,9GMP,0.20200647837731653
W31386,-7.1394296,10.193412,15Mo,0.5109839256678943
W31387,7.8500056,5.841158,2Ery,0.6059961873858969
W31388,-2.6111088,6.18266,10GMP,0.2777944658137899
W31389,5.9752893,5.1990595,5Ery,0.5742759445847097
W31390,5.429587,5.4055696,5Ery,0.5311409223950265
W31391,7.814388,7.0397205,2Ery,0.6021860973948587
W31392,-4.487215,7.6164355,14Mo,0.20844131671039787
W31393,-4.714574,7.1082683,13Baso,0.19189808883886628
W31394,7.651481,6.378571,2Ery,0.6029129125278345
W31395,-7.2779546,7.6242185,14Mo,0.3490770423912099
W31396,-6.0194345,10.520669,16Neu,0.4358853817881006
W31397,-1.4923825,5.314934,12Baso,0.5117118057100694
W31398,-6.192528,7.805163,14Mo,0.31543156829961394
W31399,-4.5750947,7.823456,14Mo,0.24281297159318588
W31401,7.6268115,5.6295495,3Ery,0.6046600183037483
W31402,-5.198767,7.811311,14Mo,0.2557719764967496
W31403,-5.94453,6.2227473,13Baso,0.2516317650720669
W31405,-3.2695227,7.0727835,12Baso,0.1636198538061596
W31406,4.9724784,5.721441,5Ery,0.4918234468816142
W31407,-1.2318679,5.4429812,10GMP,0.5326520781809039
W31409,-4.5576987,7.719601,14Mo,0.23246909220260242
W31410,5.1754208,5.1388083,4Ery,0.5181709833466189
W31411,-5.823014,9.355245,15Mo,0.335863216241076
W31412,-4.9332056,2.5259058,11DC,0.48575712732921555
W31413,6.7080193,3.2447116,3Ery,0.6109676276970596
W31414,6.4409733,4.4141755,4Ery,0.5879745064798453
W31415,4.500155,5.657457,4Ery,0.3868597200029907
W31416,6.1840596,4.7605243,4Ery,0.5916225441046807
W31418,7.0687366,5.5492635,4Ery,0.5991176265302707
W31419,4.699251,6.2007957,5Ery,0.4281114015265525
W31420,8.281961,7.349485,1Ery,0.6038259379606122
W31421,-7.4257913,11.282601,16Neu,0.6105065721482744
W31422,-6.9306316,8.244937,14Mo,0.35227638720172816
W31423,7.8535748,6.5189466,2Ery,0.6040305742857812
W31424,5.342258,4.933967,5Ery,0.5489343498777651
W31425,-5.858436,10.392793,15Mo,0.41429058349330394
W31426,5.586513,4.312015,5Ery,0.5368228510254421
W31427,5.604319,6.7775655,2Ery,0.573010101054933
W31428,5.4530535,5.4278383,5Ery,0.5417197061576139
W31429,7.656668,7.547634,1Ery,0.5978153127411808
W31430,-0.23478436,4.8183103,7MEP,0.48575712732921555
W31431,5.8470984,6.9946647,2Ery,0.550387287497476
W31432,-5.8723903,9.189902,14Mo,0.32920557114506277
W31433,-0.73451906,5.6766324,10GMP,0.41921655352519027
W31434,6.406768,6.2932734,2Ery,0.5806624537745152
W31436,-5.6719136,8.462145,14Mo,0.30086346340600917
W31437,2.0788536,5.2496305,6Ery,0.2442833275880634
W31439,-0.9116752,7.3744245,9GMP,0.06974047590603076
W31440,8.7987585,3.2216895,3Ery,0.48575712732921555
W31441,6.001687,6.7201495,2Ery,0.5454945813967967
W31442,6.2287307,6.051025,3Ery,0.5701920765885633
W31443,-0.6710484,5.303244,12Baso,0.48575712732921555
W31444,5.7117167,6.6246166,2Ery,0.563377570857065
W31445,-1.4501141,5.430197,18Eos,0.49755680314219836
W31446,5.889288,5.657797,5Ery,0.5576466754215376
W31447,5.719186,5.786039,3Ery,0.49884231955832314
W31448,-6.586682,8.630167,15Mo,0.37725442249197094
W31451,-3.6090326,7.149794,14Mo,0.16797536068342847
W31452,8.083237,6.5734243,2Ery,0.6047289000388254
W31453,2.2130961,5.0416365,6Ery,0.19765388653316657
W31454,-4.347417,8.810299,14Mo,0.22087435651149395
W31455,7.703478,7.6186657,2Ery,0.5986722627944727
W31456,5.170271,5.760442,5Ery,0.508626265362957
W31457,-1.4098593,5.19944,12Baso,0.5265125729920719
W31458,-0.16955502,5.3441577,7MEP,0.48575712732921555
W31459,-1.7599375,6.199442,17Neu,0.37475911809309487
W31460,-5.2371902,8.984008,14Mo,0.3006205982940264
W31461,5.757348,6.766873,2Ery,0.5518779421594082
W31462,4.6271486,6.3908267,5Ery,0.447501367360555
W31463,6.751166,7.5674233,2Ery,0.5928461914648631
W31464,-6.116191,7.3348403,14Mo,0.31813759792726
W31465,-4.386809,7.9912353,13Baso,0.21247817472989852
W31466,-7.7271104,8.445296,15Mo,0.4034499813276866
W31467,7.2437153,6.008056,2Ery,0.5979136733216731
W31468,-4.8852544,6.874078,13Baso,0.18513184823636636
W31469,-6.728712,10.907471,16Neu,0.4948085579667521
W31470,7.469227,5.5826964,5Ery,0.6029046878272218
W31471,-8.050146,7.000232,14Mo,0.39475432953011624
W31472,-5.1319375,10.021127,16Neu,0.32956223584601796
W31473,-6.0806384,7.940958,14Mo,0.3148461896300572
W31474,-6.0843987,10.8744335,16Neu,0.47507221396515875
W31475,-6.0152845,7.8154244,14Mo,0.3046269179961852
W31476,-0.70211715,7.11879,8Mk,0.173420439093846
W31477,-3.4974685,6.250562,10GMP,0.11649987775121887
W31478,-4.0343585,8.19833,14Mo,0.20860925720849158
W31479,5.1180744,6.0614724,5Ery,0.5177947833072731
W31480,0.2135026,4.0582557,7MEP,0.5394016504201292
W31481,7.4054694,7.263427,2Ery,0.5963114423004294
W31483,-4.4583616,9.619621,14Mo,0.20384918332218305
W31484,-6.3163657,7.371815,13Baso,0.3403040641459957
W31485,5.7259927,5.404242,2Ery,0.577799706593291
W31486,5.2325683,5.389278,5Ery,0.5282510792190278
W31487,-5.1300726,8.29045,14Mo,0.2765208222107846
W31489,-7.9130635,7.4637856,14Mo,0.38734953570923636
W31491,-4.310503,6.48701,9GMP,0.1294724626275783
W31492,7.5589604,4.2455683,4Ery,0.614255811695613
W31493,-1.9921159,5.267385,10GMP,0.413205526312579
W31494,-7.066772,8.518725,13Baso,0.3474680547422663
W31495,-3.8035471,6.344913,10GMP,0.07677427174997849
W31497,0.22366296,4.876212,7MEP,0.5195016942106683
W31498,-4.1038556,6.7536864,10GMP,0.15484250755100382
W31499,5.3206644,3.5682127,3Ery,0.535488308035755
W31500,8.183383,5.7823577,2Ery,0.6094342747629695
W31501,-7.6123385,7.380409,14Mo,0.37621696823449685
W31502,-2.02977,5.443314,10GMP,0.4249036394136009
W31503,-6.0000076,10.009545,15Mo,0.33062514349599287
W31504,-8.773387,8.861551,13Baso,0.5020523937608331
W31505,-0.4307863,5.0218015,7MEP,0.6573435192317383
W31506,1.0733453,4.5451026,6Ery,0.3839693189772313
W31507,2.1008947,5.723624,7MEP,0.20443862307053062
W31508,5.00414,4.8817754,5Ery,0.49602669071317224
W31509,-5.604191,8.22682,14Mo,0.2969197117606252
W31510,-7.0794573,7.1036663,13Baso,0.3487394126032827
W31511,-4.5090694,6.2603106,10GMP,0.1629632236358195
W31512,3.0437624,4.764085,7MEP,0.2026735072525408
W31513,8.032711,2.89187,3Ery,0.48575712732921555
W31514,0.027878728,5.168976,7MEP,0.48575712732921555
W31515,-5.474255,6.82358,13Baso,0.24580846683815377
W31516,8.171197,7.233042,1Ery,0.6033535611665375
W31517,-3.9765813,7.9048553,14Mo,0.19743960316520698
W31518,-5.731432,7.485481,13Baso,0.3057003776497864
W31519,-2.1760488,6.07918,10GMP,0.3461773931185873
W31520,-5.0370526,6.107799,9GMP,0.10256520053568358
W31521,6.8205633,3.019844,3Ery,0.6192430169841301
W31522,-7.0153155,6.391736,13Baso,0.3065797629417567
W31523,7.669446,6.9113197,2Ery,0.6002975022362692
W31524,-4.207211,7.37562,13Baso,0.18189520305284623
W31525,7.962481,6.2279053,2Ery,0.6057907751409803
W31526,-0.110207476,4.335728,6Ery,0.5677058995699672
W31527,2.0013182,5.1462483,6Ery,0.23317494552721665
W31528,-4.8705597,7.6006722,13Baso,0.23002454117070845
W31529,6.266911,3.1691914,3Ery,0.5945797009321416
W31530,-4.8058653,8.364532,13Baso,0.24826734799896377
W31531,-4.420668,2.591462,11DC,0.48575712732921555
W31532,-6.0890408,10.138378,14Mo,0.3774162194737131
W31533,-2.278245,5.731822,10GMP,0.3391977042792212
W31534,-0.76244164,6.832388,8Mk,0.17146666070246458
W31535,-2.7098572,6.3596826,9GMP,0.17800020201130823
W31536,6.828476,5.662307,2Ery,0.6015520541710107
W31537,-3.5493007,7.589979,13Baso,0.19219616017384514
W31538,-5.7496157,7.599089,14Mo,0.2999961409034864
W31539,-2.836953,6.645484,13Baso,0.1962132508613066
W31540,-5.237881,8.528769,14Mo,0.2827440827319222
W31541,5.8090634,6.11023,5Ery,0.5651107686462798
W31542,-4.872874,7.735725,14Mo,0.24610931670595465
W31543,4.1565814,5.7715607,5Ery,0.35804098493487546
W31544,-6.354317,7.4178677,13Baso,0.31841233702991717
W31545,-2.497124,7.3997607,12Baso,0.21745330433287433
W31546,-5.871572,10.863985,16Neu,0.4534711346762342
W31547,-2.0313432,4.8528113,11DC,0.48575712732921555
W31548,-3.0954647,6.984994,13Baso,0.19498945402440754
W31549,-5.858094,7.624063,13Baso,0.30465319285420217
W31550,7.2828546,6.7081904,2Ery,0.594556321785141
W31551,6.222214,6.116078,2Ery,0.5813679120067784
W31552,-5.045147,7.8801513,14Mo,0.24825712494985316
W31553,-0.47799045,4.3771305,7MEP,0.48575712732921555
W31554,6.2524843,5.6601467,4Ery,0.5508473378573421
W31555,2.4904454,5.1786323,6Ery,0.21128395625316312
W31556,-4.7610703,7.457248,13Baso,0.2085621367057225
W31558,-4.575172,8.281192,14Mo,0.2235436270526789
W31559,-6.016952,7.5207667,14Mo,0.3167833733514072
W31560,-0.021945689,4.858086,6Ery,0.5035069362109601
W31562,-1.8009598,6.0724363,12Baso,0.39392813549131317
W31563,5.4975524,4.188285,6Ery,0.5367516221083307
W31564,-3.7606447,8.001924,14Mo,0.16668340518615973
W31565,6.7236533,5.4436502,2Ery,0.5978248785659769
W31566,-5.3313904,9.346571,13Baso,0.26793674453597577
W31567,-5.434622,7.7287846,13Baso,0.2897365688217852
W31568,-5.48702,8.594429,14Mo,0.29010356214149163
W31569,0.11208733,4.3361025,7MEP,0.5272404927576576
W31570,-0.35714623,4.9803634,7MEP,0.48575712732921555
W31571,-6.053581,10.364436,15Mo,0.4055325985342972
W31572,3.8075042,5.561493,5Ery,0.2883544364394918
W31573,3.2636156,5.2720504,5Ery,0.23982191236127814
W31575,2.6900773,5.0638456,5Ery,0.20912660865034505
W31576,4.89974,5.5042763,5Ery,0.487573312625922
W31577,-7.403586,10.556179,15Mo,0.5711492543199589
W31578,8.187921,6.8706675,1Ery,0.604760537630599
W31580,-4.8055277,7.187372,13Baso,0.20851230540219065
W31581,-5.050185,6.1764174,10GMP,0.16518112893395442
W31583,-1.3203542,7.13976,12Baso,0.161169726422888
W31586,7.9833117,4.4556274,4Ery,0.6169934542173204
W31587,-0.561962,4.532533,7MEP,0.6855344754710353
W31588,-7.7992315,11.06002,15Mo,0.7073894726869835
W31589,-2.6332886,3.9561276,19Lymph,0.48575712732921555
W31590,-7.9769855,7.1444573,13Baso,0.3785852228681857
W31591,-7.6036777,7.563788,13Baso,0.35621007446617386
W31593,8.165981,2.9717185,3Ery,0.6309757940829704
W31594,6.508781,5.445412,3Ery,0.5878927099114081
W31595,-6.1638117,10.515844,15Mo,0.38065078256215484
W31596,-5.9328628,11.214544,16Neu,0.4732237032402842
W31597,-6.7857256,7.2397017,13Baso,0.3389399997067977
W31598,8.164842,5.827756,2Ery,0.6092914045983433
W31599,-6.9364576,10.554101,15Mo,0.5092407088925007
W31600,-1.5295837,5.962796,17Neu,0.45166364660556824
W31601,-6.4056497,9.908239,15Mo,0.3602566423140979
W31602,-4.925856,6.5746613,13Baso,0.17704682028297142
W31603,-5.852114,10.299813,16Neu,0.40674959209936973
W31604,0.97442895,4.364757,6Ery,0.3859870299934466
W31605,5.180549,4.3530216,5Ery,0.4848192597137046
W31606,-7.6233096,9.198797,15Mo,0.46532357894937754
W31607,-1.9791483,6.982298,9GMP,0.01108905868509413
W31608,-7.2618904,7.524118,13Baso,0.3414461120622456
W31609,-8.629533,10.023303,15Mo,0.48575712732921555
W31611,-5.2500753,7.4970527,13Baso,0.25027194964214794
