,pseudotime,predicted_expr,gene,lineage
51,0.5152,1.752,H2-Eb1,11DC
52,0.5253,1.8284,H2-Eb1,11DC
53,0.5354,1.9048,H2-Eb1,11DC
54,0.5455,1.9812,H2-Eb1,11DC
55,0.5556,2.0576,H2-Eb1,11DC
56,0.5657,2.134,H2-Eb1,11DC
57,0.5758,2.2104,H2-Eb1,11DC
58,0.5859,2.2868,H2-Eb1,11DC
59,0.596,2.3632,H2-Eb1,11DC
60,0.6061,2.4396,H2-Eb1,11DC
61,0.6162,2.5159,H2-Eb1,11DC
62,0.6263,2.5923,H2-Eb1,11DC
63,0.6364,2.6687,H2-Eb1,11DC
64,0.6465,2.7451,H2-Eb1,11DC
65,0.6566,2.8215,H2-Eb1,11DC
66,0.6667,2.8979,H2-Eb1,11DC
67,0.6768,2.9743,H2-Eb1,11DC
68,0.6869,3.0507,H2-Eb1,11DC
69,0.697,3.1271,H2-Eb1,11DC
70,0.7071,3.2035,H2-Eb1,11DC
71,0.7172,3.2799,H2-Eb1,11DC
72,0.7273,3.3563,H2-Eb1,11DC
73,0.7374,3.4327,H2-Eb1,11DC
74,0.7475,3.5091,H2-Eb1,11DC
75,0.7576,3.5855,H2-Eb1,11DC
76,0.7677,3.6619,H2-Eb1,11DC
77,0.7778,3.7383,H2-Eb1,11DC
78,0.7879,3.8147,H2-Eb1,11DC
79,0.798,3.8911,H2-Eb1,11DC
80,0.8081,3.9675,H2-Eb1,11DC
81,0.8182,4.0439,H2-Eb1,11DC
82,0.8283,4.1202,H2-Eb1,11DC
83,0.8384,4.1966,H2-Eb1,11DC
84,0.8485,4.273,H2-Eb1,11DC
85,0.8586,4.3494,H2-Eb1,11DC
86,0.8687,4.4258,H2-Eb1,11DC
87,0.8788,4.5022,H2-Eb1,11DC
88,0.8889,4.5786,H2-Eb1,11DC
89,0.899,4.655,H2-Eb1,11DC
90,0.9091,4.7314,H2-Eb1,11DC
91,0.9192,4.8078,H2-Eb1,11DC
92,0.9293,4.8842,H2-Eb1,11DC
93,0.9394,4.9606,H2-Eb1,11DC
94,0.9495,5.037,H2-Eb1,11DC
95,0.9596,5.1134,H2-Eb1,11DC
96,0.9697,5.1898,H2-Eb1,11DC
97,0.9798,5.2662,H2-Eb1,11DC
98,0.9899,5.3426,H2-Eb1,11DC
99,1.0,5.419,H2-Eb1,11DC
100,0.0,0.6636,H2-Aa,11DC
101,0.0101,0.6375,H2-Aa,11DC
102,0.0202,0.6114,H2-Aa,11DC
103,0.0303,0.5856,H2-Aa,11DC
104,0.0404,0.56,H2-Aa,11DC
105,0.0505,0.5348,H2-Aa,11DC
106,0.0606,0.5101,H2-Aa,11DC
107,0.0707,0.4859,H2-Aa,11DC
108,0.0808,0.4624,H2-Aa,11DC
109,0.0909,0.4397,H2-Aa,11DC
110,0.101,0.4179,H2-Aa,11DC
111,0.1111,0.397,H2-Aa,11DC
112,0.1212,0.3772,H2-Aa,11DC
113,0.1313,0.3585,H2-Aa,11DC
114,0.1414,0.3411,H2-Aa,11DC
115,0.1515,0.325,H2-Aa,11DC
116,0.1616,0.3104,H2-Aa,11DC
117,0.1717,0.2974,H2-Aa,11DC
118,0.1818,0.2862,H2-Aa,11DC
119,0.1919,0.277,H2-Aa,11DC
120,0.202,0.2702,H2-Aa,11DC
121,0.2121,0.266,H2-Aa,11DC
122,0.2222,0.2647,H2-Aa,11DC
123,0.2323,0.2665,H2-Aa,11DC
124,0.2424,0.2716,H2-Aa,11DC
125,0.2525,0.2805,H2-Aa,11DC
126,0.2626,0.2932,H2-Aa,11DC
127,0.2727,0.3102,H2-Aa,11DC
128,0.2828,0.3316,H2-Aa,11DC
129,0.2929,0.3577,H2-Aa,11DC
130,0.303,0.3887,H2-Aa,11DC
131,0.3131,0.4251,H2-Aa,11DC
132,0.3232,0.4669,H2-Aa,11DC
133,0.3333,0.5144,H2-Aa,11DC
134,0.3434,0.5673,H2-Aa,11DC
135,0.3535,0.625,H2-Aa,11DC
136,0.3636,0.6872,H2-Aa,11DC
137,0.3737,0.7533,H2-Aa,11DC
138,0.3838,0.8229,H2-Aa,11DC
139,0.3939,0.8956,H2-Aa,11DC
140,0.404,0.9709,H2-Aa,11DC
141,0.4141,1.0483,H2-Aa,11DC
142,0.4242,1.1274,H2-Aa,11DC
143,0.4343,1.2077,H2-Aa,11DC
144,0.4444,1.2887,H2-Aa,11DC
145,0.4545,1.37,H2-Aa,11DC
146,0.4646,1.4512,H2-Aa,11DC
147,0.4747,1.5317,H2-Aa,11DC
148,0.4848,1.6111,H2-Aa,11DC
149,0.4949,1.6897,H2-Aa,11DC
150,0.5051,1.7683,H2-Aa,11DC
151,0.5152,1.847,H2-Aa,11DC
152,0.5253,1.9256,H2-Aa,11DC
153,0.5354,2.0042,H2-Aa,11DC
154,0.5455,2.0828,H2-Aa,11DC
155,0.5556,2.1614,H2-Aa,11DC
156,0.5657,2.24,H2-Aa,11DC
157,0.5758,2.3186,H2-Aa,11DC
158,0.5859,2.3972,H2-Aa,11DC
159,0.596,2.4759,H2-Aa,11DC
160,0.6061,2.5545,H2-Aa,11DC
161,0.6162,2.6331,H2-Aa,11DC
162,0.6263,2.7117,H2-Aa,11DC
163,0.6364,2.7903,H2-Aa,11DC
164,0.6465,2.8689,H2-Aa,11DC
165,0.6566,2.9475,H2-Aa,11DC
166,0.6667,3.0261,H2-Aa,11DC
167,0.6768,3.1048,H2-Aa,11DC
168,0.6869,3.1834,H2-Aa,11DC
169,0.697,3.262,H2-Aa,11DC
170,0.7071,3.3406,H2-Aa,11DC
171,0.7172,3.4192,H2-Aa,11DC
172,0.7273,3.4978,H2-Aa,11DC
173,0.7374,3.5764,H2-Aa,11DC
174,0.7475,3.655,H2-Aa,11DC
175,0.7576,3.7337,H2-Aa,11DC
176,0.7677,3.8123,H2-Aa,11DC
177,0.7778,3.8909,H2-Aa,11DC
178,0.7879,3.9695,H2-Aa,11DC
179,0.798,4.0481,H2-Aa,11DC
180,0.8081,4.1267,H2-Aa,11DC
181,0.8182,4.2053,H2-Aa,11DC
182,0.8283,4.2839,H2-Aa,11DC
183,0.8384,4.3626,H2-Aa,11DC
184,0.8485,4.4412,H2-Aa,11DC
185,0.8586,4.5198,H2-Aa,11DC
186,0.8687,4.5984,H2-Aa,11DC
187,0.8788,4.677,H2-Aa,11DC
188,0.8889,4.7556,H2-Aa,11DC
189,0.899,4.8342,H2-Aa,11DC
190,0.9091,4.9128,H2-Aa,11DC
191,0.9192,4.9915,H2-Aa,11DC
192,0.9293,5.0701,H2-Aa,11DC
193,0.9394,5.1487,H2-Aa,11DC
194,0.9495,5.2273,H2-Aa,11DC
195,0.9596,5.3059,H2-Aa,11DC
196,0.9697,5.3845,H2-Aa,11DC
197,0.9798,5.4631,H2-Aa,11DC
198,0.9899,5.5418,H2-Aa,11DC
199,1.0,5.6204,H2-Aa,11DC
200,0.0,0.8503,Cd74,11DC
201,0.0101,0.8164,Cd74,11DC
202,0.0202,0.7828,Cd74,11DC
203,0.0303,0.7494,Cd74,11DC
204,0.0404,0.7164,Cd74,11DC
205,0.0505,0.684,Cd74,11DC
206,0.0606,0.6523,Cd74,11DC
207,0.0707,0.6215,Cd74,11DC
208,0.0808,0.5916,Cd74,11DC
209,0.0909,0.5628,Cd74,11DC
210,0.101,0.5352,Cd74,11DC
211,0.1111,0.509,Cd74,11DC
212,0.1212,0.4844,Cd74,11DC
213,0.1313,0.4613,Cd74,11DC
214,0.1414,0.4401,Cd74,11DC
215,0.1515,0.4207,Cd74,11DC
216,0.1616,0.4034,Cd74,11DC
217,0.1717,0.3884,Cd74,11DC
218,0.1818,0.3758,Cd74,11DC
219,0.1919,0.366,Cd74,11DC
220,0.202,0.3594,Cd74,11DC
221,0.2121,0.3562,Cd74,11DC
222,0.2222,0.3568,Cd74,11DC
223,0.2323,0.3614,Cd74,11DC
224,0.2424,0.3705,Cd74,11DC
225,0.2525,0.3843,Cd74,11DC
226,0.2626,0.4031,Cd74,11DC
227,0.2727,0.4273,Cd74,11DC
228,0.2828,0.4571,Cd74,11DC
229,0.2929,0.493,Cd74,11DC
230,0.303,0.5351,Cd74,11DC
231,0.3131,0.5839,Cd74,11DC
232,0.3232,0.6396,Cd74,11DC
233,0.3333,0.7024,Cd74,11DC
234,0.3434,0.772,Cd74,11DC
235,0.3535,0.8476,Cd74,11DC
236,0.3636,0.9287,Cd74,11DC
237,0.3737,1.0147,Cd74,11DC
238,0.3838,1.105,Cd74,11DC
239,0.3939,1.199,Cd74,11DC
240,0.404,1.2961,Cd74,11DC
241,0.4141,1.3957,Cd74,11DC
242,0.4242,1.4971,Cd74,11DC
243,0.4343,1.5998,Cd74,11DC
244,0.4444,1.7032,Cd74,11DC
245,0.4545,1.8066,Cd74,11DC
246,0.4646,1.9095,Cd74,11DC
247,0.4747,2.0113,Cd74,11DC
248,0.4848,2.1113,Cd74,11DC
249,0.4949,2.2101,Cd74,11DC
250,0.5051,2.3089,Cd74,11DC
251,0.5152,2.4076,Cd74,11DC
252,0.5253,2.5064,Cd74,11DC
253,0.5354,2.6052,Cd74,11DC
254,0.5455,2.7039,Cd74,11DC
255,0.5556,2.8027,Cd74,11DC
256,0.5657,2.9015,Cd74,11DC
257,0.5758,3.0003,Cd74,11DC
258,0.5859,3.099,Cd74,11DC
259,0.596,3.1978,Cd74,11DC
260,0.6061,3.2966,Cd74,11DC
261,0.6162,3.3953,Cd74,11DC
262,0.6263,3.4941,Cd74,11DC
263,0.6364,3.5929,Cd74,11DC
264,0.6465,3.6917,Cd74,11DC
265,0.6566,3.7904,Cd74,11DC
266,0.6667,3.8892,Cd74,11DC
267,0.6768,3.988,Cd74,11DC
268,0.6869,4.0867,Cd74,11DC
269,0.697,4.1855,Cd74,11DC
270,0.7071,4.2843,Cd74,11DC
271,0.7172,4.3831,Cd74,11DC
272,0.7273,4.4818,Cd74,11DC
273,0.7374,4.5806,Cd74,11DC
274,0.7475,4.6794,Cd74,11DC
275,0.7576,4.7781,Cd74,11DC
276,0.7677,4.8769,Cd74,11DC
277,0.7778,4.9757,Cd74,11DC
278,0.7879,5.0745,Cd74,11DC
279,0.798,5.1732,Cd74,11DC
280,0.8081,5.272,Cd74,11DC
281,0.8182,5.3708,Cd74,11DC
282,0.8283,5.4695,Cd74,11DC
283,0.8384,5.5683,Cd74,11DC
284,0.8485,5.6671,Cd74,11DC
285,0.8586,5.7659,Cd74,11DC
286,0.8687,5.8646,Cd74,11DC
287,0.8788,5.9634,Cd74,11DC
288,0.8889,6.0622,Cd74,11DC
289,0.899,6.1609,Cd74,11DC
290,0.9091,6.2597,Cd74,11DC
291,0.9192,6.3585,Cd74,11DC
292,0.9293,6.4573,Cd74,11DC
293,0.9394,6.556,Cd74,11DC
294,0.9495,6.6548,Cd74,11DC
295,0.9596,6.7536,Cd74,11DC
296,0.9697,6.8523,Cd74,11DC
297,0.9798,6.9511,Cd74,11DC
298,0.9899,7.0499,Cd74,11DC
299,1.0,7.1487,Cd74,11DC
